Title,Location,Description,Additional Information,Views,Applications,Filtered Technologies
Senior Machine Learning Engineer video,"['Ukraine', 'Dnipro', 'Ivano', 'Frankivsk', 'Kyiv', '2', 'more', 'cities']","ravatar uses advanced generative artificial intelligence technology to create high quality realistic avatars.working with synthetic data, we can recreate any person in virtual reality using existing audio and video samples as a reference.https://ravatar.com/#undefinedmachine learning engineer, text-to-speech (tts) research cкоріше такий тайтл точніший.stackpython, java, c++, or c#.","['Product', 'Office or Remote', '2 years of experience', 'Intermediate']",32,3,[]
Python Team Lead,['Ukraine'],"we are seeking a dynamic and experienced python team lead with a strong background in gis (geographic information systems).responsibilities: as the python team lead, you will play a crucial role in overseeing and guiding the forte team's efforts. your primary responsibilities will include:•	leading a team of skilled python developers and gis specialists in the design, development, and maintenance of geospatial data processing and analysis solutions.•	collaborating with cross-functional teams to gather requirements, design effective workflows, and ensure successful project delivery.•	leveraging your gis expertise to contribute to the development and improvement of spatial data processing algorithms and methodologies.•	taking charge of qa processes, particularly in the validation of machine learning results using jupyter notebooks.•	managing and optimizing the utilization of infrastructure resources, including on-premises servers, s3 storage buckets, and shared network drives.•	overseeing the migration process away from google sheets for production data, utilizing the google sheets api for transitional solutions.•	coordinating activities using jira to ensure efficient project management and timely delivery of tasks.required skills and qualifications:•	extensive experience working with python and its libraries, particularly xarray for raster data and geopandas for vector data.•	proficiency in core python libraries such as pygeos, shapely, pandas, and numpy.•	strong familiarity with qgis, specifically for shapefile extraction and manipulation.•	previous experience using jupyter notebooks for quality assurance and validation of machine learning outputs.•	knowledge of google earth engine and its dependencies, managed through the gee_connector.•	experience working with on-premises infrastructure, s3 storage buckets, and shared network drives for data storage and retrieval.•	familiarity with process automation using tools like process street, particularly for defining workflows related to shapefile extraction.•	prior exposure to the google sheets api and transitioning away from google sheets for production data management.•	proficient english skills at an upper-intermediate level to effectively communicate and collaborate within a diverse team.we offer:• professional development and personal growth• financial opportunities that attract• remote work option• comfortable working environment• paid vacation• paid sick leave• friendly and open-minded teamif you are a passionate python developer with a knack for leading teams and a strong background in gis, we invite you to join us in our mission to revolutionize the field. apply now to embark on a journey of innovation and growth with us.","['Full Remote', '5 years of experience', 'Upper-Intermediate']",15,2,"['PANDAS', 'PYTHON']"
Machine Learning Engineer,"['Ukraine', 'Dnipro', 'Kyiv', 'Lviv']","machine learning engineer, text-to-speech (tts)good knowledge of python (standard and ml libraries, ability to apply oop);understanding the principles of building machine learning models;sql knowledge;experience with docker;ability to work with git;systems thinking, desire to understand the subject area, business processes;technical higher education.good knowledge of probability theory and mathematical statistics;stackpython, java, c++, or c#.","['Product', 'Full Remote', '3 years of experience', 'Upper-Intermediate']",32,9,['PYTHON']
Middle  Python Developer(Python+React),"['Relocate', 'Ukraine', 'Kyiv']","ajax systems — розробник і виробник систем безпеки ajax із можливостями розумного дому. це більше 50 пристрої, мобільні та десктопні застосунки, серверна інфраструктура. у лінійці ajax представлено централі керування із власною rtos (os malevich), датчики руху, відчинення, захисту від затоплення та пожежні датчики, вуличні й домашні сирени, тривожна кнопка з функцією керування приладами, розумні розетки та реле.кожного року ми демонструємо кратне зростання як у чисельності команди, так і в кількості користувачів у всьому світі. виробництво ajax systems налічує два заводи, що розташовані в україні. також у нас чотири r&d-офіси: у києві, харкові, львові та вінниці. локальні команди продажів є у великобританії, італії, іспанії, португалії, німеччині, польщі, норвегії, румунії, туреччині, оае та пар.датчики ajax охороняють більше мільйона користувачів у більш ніж 130 країнах світу.основне завдання команди — це забезпечити випуск максимальної кількості пристроїв найвищої якості в найкоротші терміни. ми розробляємо власний софт і апаратне забезпечення, які використовуються практично на всіх етапах виробництва: починаючи з тестування змонтованих плат і прошивки мікроконтролерів, до перевірки зібраних пристроїв і їх упаковки, комплектації starter kits. головний виклик перед командою на найближче майбутнє — повна автоматизація всіх етапів виробництва з використанням конвеєрів і роботів.основні задачі:- розробка web інтерфейсу для управління даними в системі для зручного керування і редагуванняweb сторінки для виводу статистики, аналітики по записам в базі даних      - розробка api для взаємодії програм з базою, стороннім пз та пз/хардом інших команд.- інтеграція апаратного забезпечення в програм виробництва, що потрібні для перевірки/калібрування окремих функцій охоронних, відео та смарт-хоум пристроїв.- робота з ci/di системою для автоматичного управління версіями програмного забезпечення виробництва- розробка допоміжних програм, скриптів, алгоритмів аналізу, web, desktopщо шукаємо у кандидаті?- комерційний досвід с python 3 від 2 років- комерційний досвід в web розробці від 2 роківтреба знати:- javascript, typescript- html, css- mysql, postgresql-  multiprocessing, threading, asyncio, the python standard library- oop- api, drf- http, tcp/ip, модель osi- git, linux- nosql - jenkins чи інша ci/cd система- djangoчудово, якщо ви знаєте:- webrtc- grpc- pyqt, pyside чи tkinter- pyserial чи pyusb- pyinstaller- docker, docker-compose, aws-qmlособисті якості:- цілеспрямованість- прагнення до нових знань і вирішенню нестандартних задач- вміння працювати в команді.пропонуємо:- свободу приймати рішення та втілювати ідеї;- можливість впливати на продукт і виробництво замість монотонного закриття задач;- роботу в мотивованій команді та zero bullshit culture;- гнучкий графік в офісі;- турботу та медичне страхування","['Product', 'Office Work', '3 years of experience', 'Intermediate']",21,1,"['JENKINS', 'JAVASCRIPT', 'MYSQL', 'GIT', 'HTTP', 'PYTHON', 'DOCKER']"
Middle Python Developer (Automation Team),"['Ukraine', 'Kyiv']","ajax systems — розробник і виробник систем безпеки ajax із можливостями розумного дому. це більше 50 пристрої, мобільні та десктопні застосунки, серверна інфраструктура. у лінійці ajax представлено централі керування із власною rtos (os malevich), датчики руху, відчинення, захисту від затоплення та пожежні датчики, вуличні й домашні сирени, тривожна кнопка з функцією керування приладами, розумні розетки та реле.кожного року ми демонструємо кратне зростання як у чисельності команди, так і в кількості користувачів у всьому світі. виробництво ajax systems налічує два заводи, що розташовані в україні. також у нас чотири r&d-офіси: у києві, харкові, львові та вінниці. локальні команди продажів є у великобританії, італії, іспанії, португалії, німеччині, польщі, норвегії, румунії, туреччині, оае та пар.датчики ajax охороняють більше мільйона користувачів у більш ніж 130 країнах світу.основне завдання команди — це забезпечити випуск максимальної кількості пристроїв найвищої якості в найкоротші терміни. ми розробляємо власний софт і апаратне забезпечення, які використовуються практично на всіх етапах виробництва: починаючи з тестування змонтованих плат і прошивки мікроконтролерів, до перевірки зібраних пристроїв і їх упаковки, комплектації starter kits. головний виклик перед командою на найближче майбутнє — повна автоматизація всіх етапів виробництва з використанням конвеєрів і роботів.основні задачі:- розробка десктоп програм (pc, single-board) для автоматизації процесів масового виробництва, тестування та калібрування пристроїв.- інтеграція апаратного забезпечення в програм виробництва, що потрібні для перевірки/калібрування окремих функцій охоронних, відео та смарт-хоум пристроїв.- робота з ci/di системою для автоматичного управління версіями програмного забезпечення виробництва- розробка допоміжних програм, скриптів, алгоритмів аналізу, api для взаємодії програм з базою, стороннім пз та пз/хардом інших команд.що шукаємо у кандидаті?- комерційний досвід з python 3 - від 3х років- знання django/flask- досвід роботи з mysql, postgresql- розуміння multiprocessing, threading, socket, the python standard libraries- знання http/tcp, модель osi- досвід oop- знання git, linux- англійську на рівні читання та розуміння документаціїчудово, якщо ви знаєте:- pyqt, pyside чи tkinter- pyserial чи pyusb- pyinstaller- jenkins чи інша ci/cd система- docker, docker-compose, aws- webrtc- grpc- nosql - qml","['Product', 'Office Work', '3 years of experience', 'Intermediate']",15,4,"['DJANGO', 'JENKINS', 'GIT', 'MYSQL', 'HTTP', 'PYTHON', 'DOCKER']"
Senior Python Developer,"['Ukraine', 'Kyiv']","ajax systems — розробник і виробник систем безпеки ajax із можливостями розумного дому. це більше 50 пристрої, мобільні та десктопні застосунки, серверна інфраструктура. у лінійці ajax представлено централі керування із власною rtos (os malevich), датчики руху, відчинення, захисту від затоплення та пожежні датчики, вуличні й домашні сирени, тривожна кнопка з функцією керування приладами, розумні розетки та реле.кожного року ми демонструємо кратне зростання як у чисельності команди, так і в кількості користувачів у всьому світі. виробництво ajax systems налічує два заводи, що розташовані в україні. також у нас чотири r&d-офіси: у києві, харкові, львові та вінниці. локальні команди продажів є у великобританії, італії, іспанії, португалії, німеччині, польщі, норвегії, румунії, туреччині, оае та пар.датчики ajax охороняють більше мільйона користувачів у більш ніж 130 країнах світу.основне завдання команди — це забезпечити випуск максимальної кількості пристроїв найвищої якості в найкоротші терміни. ми розробляємо власний софт і апаратне забезпечення, які використовуються практично на всіх етапах виробництва: починаючи з тестування змонтованих плат і прошивки мікроконтролерів, до перевірки зібраних пристроїв і їх упаковки, комплектації starter kits. головний виклик перед командою на найближче майбутнє — повна автоматизація всіх етапів виробництва з використанням конвеєрів і роботів.основні задачі:- розробка десктоп програм (pc, single-board) для автоматизації процесів масового виробництва, тестування та калібрування пристроїв.- інтеграція апаратного забезпечення в програм виробництва, що потрібні для перевірки/калібрування окремих функцій охоронних, відео та смарт-хоум пристроїв.- робота з ci/di системою для автоматичного управління версіями програмного забезпечення виробництва- розробка допоміжних програм, скриптів, алгоритмів аналізу, api для взаємодії програм з базою, стороннім пз та пз/хардом інших команд.що шукаємо у кандидаті?- комерційний досвід з python 3 - від 5 ти років- знання django/flask- досвід роботи з mysql, postgresql- розуміння multiprocessing, threading, socket, the python standard libraries- знання http/tcp, модель osi- досвід oop- знання git, linux- англійську на рівні читання та розуміння документаціїчудово, якщо ви знаєте:- pyqt, pyside чи tkinter- pyserial чи pyusb- pyinstaller- jenkins чи інша ci/cd система- docker, docker-compose, aws- webrtc- grpc- nosql - qmlпро компанію ajax systemsajax systems — розробник і виробник систем безпеки ajax із можливостями розумного дому. це ціла екосистема з 50 пристроїв, мобільних і десктопних застосунків, серверної інфраструктури. у лінійці ajax представлено централі керування із власною rtos (os malevich), датчики руху, відчинення, захисту від затоплення та пожежні датчики, вуличні й домашні сирени, тривожна кнопка з функцією керування приладами, розумні розетки та реле.виробництво ajax systems розташовано не в китаї, а в україні, і вже п’ять років компанія демонструє кратне зростання як у чисельності команди, так і в кількості користувачів у всьому світі.за розробку пристроїв у ajax відповідає r&d-департамент, який складається з чотирьох команд: system, devices, automation та qa.команда devices займається розробленням пристроїв для безпеки й автоматизації. розробники не винаходять датчики заново, а натомість ставлять перед собою серйозні виклики в таких напрямках:low-power — пристрої мають працювати максимально довго від штатних батарей;собівартість — масовий продукт повинен залишатися в діапазоні середнього цінового сегмента;dfm (design for manufacturing) і dfh (design for human). схемотехніка, корпуси та інші елементи має бути легко повторити в сотнях тисяч пристроїв на виробництві без втрати якості.розробники переважно використовують stm 8/32 і embedded c. вже зібрано сильну експертизу й талановитих працівників із числа hardware- та embedded c-інженерів, промислових дизайнерів, конструкторів-механіків.команда automation розробляє програмно-апаратні комплекси для тестування кожного пристрою в процесі виробництва, створює роботів для автоматизації збирання, а також програмне забезпечення для прошивки пристроїв і керування виробництвом, що дає змогу оптимізувати витрати часу навиготовлення датчиків. для цього використовують python 3 та embedded c.команда system робить пристрої розумними, перетворюючи їх на повноцінний iot. вони створили й розвивають os malevich (модульна rtos для різних апаратних платформ) і хмарний сервіс ajax cloud (java 12, aws, akka). для керування, обслуговування та моніторингу системи користувачами, інсталяторами й інженерами охоронних компаній розроблені додатки для ios (objective-c, swift), android (java, kotlin), windows/macos (python, qt, qml).системи безпеки мають підвищені вимоги до надійності та стабільності роботи, тому команда qa в ajax systems супроводжує продукт як на етапі розроблення, так і в процесі виробництва й подальшого розвитку. вони виявляють баги у залізі, софті або взаємодіях систем. це не просто команда «клікерів», це творчі інженери. вони перевіряють нові пристрої в різних екстремальних умовах: імітують рухи людей і тварин, відтворюють складні погодні умови, перепади температур, влаштовують контрольовані пожежі та затоплення.ми будуємо невеликі команди та створюємо такі умови, щоб робочий час ішов безпосередньо на дослідження й розробку замість нескінченних зустрічей і обговорень. для нас ідеї та рішення важливіші за титули, тому ми не використовуємо класичні айтішні ґрейди — senior/middle/junior.у нас багато пропрієтарних технологій. наприклад, ми впроваджуємо в днк продукту можливості й технології, скопіювати які настільки трудомістко, що навіть не має сенсу. такими розробками стали радіопротоколи jeweller і wings, операційна система os malevich, алгоритми датчиків і багато іншого.датчики ajax охороняють сотні тисяч користувачів у більш ніж 130 країнах світу. кожен датчик, який ми випускаємо, проходить контроль якості, а рівень повернення й браку — в межах статистичної похибки.виробництво ajax systems налічує два заводи, що розташовані в україні. також у нас чотири r&d-офіси: у києві, харкові, вінниці і львові.ми не релізимо лайно і шукаємо людей, які не йдуть на компроміси в якості своєї роботи.","['Product', 'Office Work', '5 years of experience', 'Pre-Intermediate']",2,0,"['DJANGO', 'JENKINS', 'GIT', 'MYSQL', 'HTTP', 'PYTHON', 'DOCKER', 'AWS']"
Python Team Lead,['Ukraine'],"we’re looking for a python team lead with gis experience who will be leading part of the team.  tool and tech stack ● python libraries: xarray (raster data), geopandas (vector data). these rely on many lower-level and core libraries such as pygeos, shapely, pandas, numpy. ● qgis, especially for shapefile extraction ● jupyter notebooks (mainly for qa of ml results) ● google earth engine dependencies centralized through gee_connector. ● in terms of infrastructure there’s quite a lot of usage of the on-prem and s3 storage buckets and shared network drives ● process street for defining workflows (definitely at least for shapefile extraction) ● google sheets api (we’re in the early days of the process of migrating away from google sheets for all production data) ● jira for coordinating activities english - upper-intermediateteam lead experience","['Full Remote', '5 years of experience', 'Upper-Intermediate']",17,1,"['PANDAS', 'PYTHON']"
FullStack Python Tech Lead (residence in Romania is mandatory),['Romania'],"project description:our client is on a mission to build the ipo process support of the future and we're looking for the passionate collaborators, innovators, advisors, and leaders who can get us there.as a full stack developer you will assist client's digital technology team in defining, developing, and extending the architecture of front-end client solutions to support our brand websites.your subject matter expertise in front-end web development utilizing python, html, css, javascript, angular development framework will help us optimize and enhance our web capabilities and help us serve our client's needs more effectively.you'll be also responsible to build, lead and support the remaining team members on your stream.responsibilities:• design & development - define and extend the technical architecture for our application using angular and python. your skills will be leveraged to develop and assist with bau requests like daily content change, front-end web template designs etc.• continuous improvement & collaboration- share your best practices and coding knowledge at all times to help enhance existing processes and technologies, improving documentation, maximizing learning on the team, and encouraging process optimization.• project delivery & documentation - assist your team members with technical documentation creation and ensure compliance with client's standards, best practices, web accessibility frameworks, and security protocols. wherever necessary, present project status document to senior management and other team members and ensure project timelines are being met• team leadership - you'll be responsible to managed your development team, provide guidance and mitigate any possible issues.mandatory skills description:• 6+ years of proven it experience• hands-on python experience• excellent javascript knowledge• strong typescript understanding• html5, css/css3 experience• experience and expertise with angular framework• understanding of capital markets domainnice-to-have skills:• team lead experience• knowledge of ipo (initial public offering) specifics","['Full Remote', '5 years of experience', 'Upper-Intermediate']",1,0,"['ANGULAR', 'JAVASCRIPT', 'PYTHON', 'REQUESTS']"
Lead Python Developer,['Ukraine'],"about the project:it is disrupting the global dating industry by putting an end to the endless swiping and superficial connections prevalent in today's dating apps. instead, we introduce you to your personal ai matchmaker. our mission is to foster lifelong high-quality matches and bring more love to the world.role summary:we are seeking a dynamic lead software engineer with 8+ years of experience in software engineering to build our software development team. this role requires not only exceptional technical skills but also strong leadership capabilities. the successful candidate will be someone who is passionate about ai, utilizing tools like gpt4 (and soon to be github co-pilot x) to accelerate coding and as a teacher for learning and innovation. they are committed to being at the forefront of the ai wave, and aspire to master the development of ai applications, especially in the natural language processing (nlp) space. they will own the full lifecycle development of our ai app, and play a critical role in recruiting, building, and leading our team of software engineers. they should be a fast learner, detail-obsessed, and committed to continuous improvement.requirements● 8+ years of experience in software engineering.● strong knowledge of python and javascript (node/react/angular).● demonstrable understanding of software architecture and systems design.● comfortable working with api integrations.● current with ai app development best practices and frameworks such as langchain.● spends time understanding the latest best practices and open source code via huggingface.● uses ai tools like gpt4 in their workflow to accelerate development. is excited about using github co-pilot x and other cutting edge productivity tools.● commitment to mastering the development of ai applications including nlp models.● strong leadership and team management skills, with a proven track record of recruiting and building engineering teams.● excellent communication skills and the ability to articulate complex technical concepts to a non-technical audience.● fast learner, able to quickly adapt to new technologies and processes.","['Full Remote', '5 years of experience', 'Upper-Intermediate']",12,0,"['GITHUB', 'REACT', 'JAVASCRIPT', 'PYTHON']"
Strong junior or middle software / data engineer (Python),"['Ukraine', 'Kyiv']","big data, ai та оборонна сфера - це те, що ми поєднали у своїй роботі. працюємо ""at the cutting edge of innovation"", аналізуємо великі дані із соцмереж, ідентифікуємо групи людей за фото, вирішуємо інші корисні задачі для оборонної сфери та бізнесу.чому вакансія повинна тебе зацікавити?- можливість поєднати створення високотехнологічних продуктів та роботу в інтересах зсу- розробляємо технології ai з аналізу груп людей, унікальні у світовому масштабі. майже як у чорному дзеркалі. у нас цікаво, незвично та багато драйву- на кожній позиції ми надаємо свободу дій, ""творчості"", а також даємо складні задачі та допомагаємо їх вирішувати, що дозволяє дуже швидко прокачувати свої навики та бачити результати саме своєї роботитехнічні вимоги:- комерційний досвід роботи з python (grpc, multiprocessing, asyncio) від 1-2 років- розуміння асимптотики, алгоритмів, структур даних, основ паралельного програмування- розуміння основних принципів передачі даних в мережі- досвід роботи з nosql та sql базами даних (mongodb, redis, графові бд)- досвід роботи з фреймворком fastapiбажано:- досвід роботи з java- досвід роботи з linux, docker- досвід роботи з open data- досвід роботи з reverse engineering, парсингом сайтів (selenium, bs4)- досвід створення api, оптимізації програмного коду- досвід у web розробціприклади задач:- розробка клієнтських api та внутрішніх продуктів компанії- знаходження оптимальних засобів розміщення наявних даних для подальшого використання командою data science- побудова пайплайнів передачі даних, у тому числі на web- використання інструментів роботи з big data — побудова кластерних рішень","['Product', 'Full Remote', '1 year of experience', 'Intermediate']",125,21,"['SQL', 'REDIS', 'PYTHON']"
Python (Django) Developer,['Ukraine'],"let’s start with what planeks offers:0. fast and comfortable hiring process.1. 100% remote(even before the covid) work opportunity and flexitime - choose working hours between 8:00-20:00.2. manage your compensation $$$$ budget - travel tickets, work equipment, health insurance, software, sport, training.3. salary paid in usd + tax compensation. revision every 6 months. we want everyone to be confident in what tomorrow brings.4. everything to provide a good rest. yes: paid vacation, national holidays, sick leaves(and support in case of serious diseases). no: overtime, work on weekends.5. regular feedback, mentorship, code review. friendly and professional team that supports you. well, we're proud of how we handle that. so you can always count on us.6. speaking clubs with a native speaker to constantly maintain your english level.7. no bureaucracy - transparent processes and flat management. working remotely means keeping things as simple as possible to work efficiently.we propose something more significant than a job. planeks means developing a new lifestyle for our colleagues and clients. so take your part in it!this position supposes that you have the following knowledge and competencies:1. software development experience(at least 2 years) with:- python and django.- other python frameworks (e.g., flask).- postgresql, mysql and mongodb.- celery, redis, elasticsearch.- cloud providers, devops, ci/cd.- unit, integration, e2e tests.2. knowledge of rest and experience working with rest apis3. experience with js, html, css (usually 0-20% of activity)4. communication skills in english (good writing and speaking)you will deal and be responsible for:1. develop, support, and maintain projects in python - usually, we create products from scratch but also have existing projects where the dev team should be extended. and also, we do not work with legacy codebases.2. solve technical challenges - all our projects are different, and you’ll never be bored with the same tasks every day, so your acquisitive mind will have great challenges regularly.3. take care of quality (code, test, business features, documentation) - everyone enjoys working with clean, readable code, so it is important to keep it such.4. participate in code reviews - usually, it is cross-reviews in the team or reviews by a senior person.5. communicate with internal and external teams - we’re in touch with great minds - inventive clients, and supportive colleagues!6. improve your technical and soft skills - just a normal evolution :)","['Full Remote', '2 years of experience', 'Intermediate']",83,26,"['POSTGRESQL', 'CELERY', 'MYSQL', 'REST', 'REDIS', 'PYTHON']"
Python developer,"['Ukraine', 'Kyiv']","responsibilities:- participating in the development of the entire application lifecycle- writing clean code to develop functional applications- fixing bugs and debugging applications- researching and applying advanced technologies to improve legacy applications- working with front-end developer to integrate user-centered elements with the server side- gathering and researching technical requirements- creating code that can be reused and libraries for future use- keeping up with new technologies- following internal company processes and policies.requirements:- 2 years of experience with python 3.7/django 2.0- good knowledge of djangorest framework- experience in api creation- experience with databases (postgresql, mysql, redis)- good knowledge of celery and pandas systems- knowledge of apache kafka and rabbitmq- basic understanding of cryptography - experience with erp/crm/billing development will be a great advantage - development experience in microservice architecture will be a pluswhat we offer:- corporate english courses- company-paid trainings and access to internal library and courses- various events aimed at personal and professional development with a chance to win gifts based on your transformation- mentoring from top managers in the company while learning the ropes- welcoming new ideas and innovations that help grow the business- flexible start to the workday from 8:00-10:00 to 17:00-19:00, mon-fri","['Product', 'Office Work', '3 years of experience']",33,8,"['DJANGO', 'CELERY', 'PANDAS', 'MYSQL', 'PYTHON']"
Strong Junior/Middle Python Developer,['Ukraine'],"office work in lvivinforce is a software development company that provides a full range of top-quality it services. our mission is to develop first-class applications and websites to provide our clients with the best solutions for maximizing their profits and converting their ideas into reality.responsibilities:● at least 1 year of experience● writing effective, scalable python code● developing back-end components to improve responsiveness and overall performance● integrating user-facing elements into applications● test and debug programs● improve functionality of existing systems● implement security and data protection solutions● assess and prioritize feature requests● coordinate with internal teams to understand user requirements and provide technical solutionsrequired skills:● good knowledge django, flask or similar python frameworks● familiarity with front-end technologies, such as javascript, html5, and css3● knowledge of orm (object relational mapper)● familiarity with various testing tools.● intermediate - upper-intermediate english levelwe offer:● competitive salary● interesting and challenging projects● future career growth opportunities● paid sick leave and working day vacation● friendly team of professionals● delicious coffee biscuits and tea for your good mood● the company covers 50% of the cost of courses you needabout inforceour goal is to create projects that take the business to the next level and solve people’s problems.we don’t just offer cheap prices or good skills..you will receive support at every step from the beginning of the project and even after its release. we are always ready to make more than expected and offer the best solutions.your result is something that inspires us and brings pleasure to our work. everything is simple.company website:http://inforce.digital/","['Office Work', '1 year of experience', 'Upper-Intermediate']",173,33,"['DJANGO', 'JAVASCRIPT', 'FLASK', 'PYTHON']"
